keluhan,kegawatan
"pasien kecelakaan parah, darah keluar banyak dari kepala, tidak sadarkan diri",1
"napas tersengal-sengal, dada terasa sesak dan nyeri tembus ke punggung",1
"terkena serangan jantung, mendadak pingsan",1
"tersiram air panas di seluruh tubuh, melepuh parah",1
"luka tusuk di perut, perdarahan hebat",1
"demam tinggi, muntah-muntah hebat, tapi masih sadar",2
"patah tulang tangan akibat jatuh dari tangga",2
"luka robek di kaki butuh jahitan",2
"sesak napas ringan karena asma kumat",2
"sakit perut melilit sejak semalam",2
"batuk pilek biasa, agak demam sedikit",3
"gatal-gatal merah di kulit karena alergi makanan",3
"sakit kepala sebelah atau migrain",3
"keseleo memar di pergelangan kaki",3
"luka lecet ringan jatuh dari sepeda",3
